Well Number,Randomized Index,Time Points
0,92,18000000
1,54,18000000
2,76,18000000
3,85,18000000
4,55,18000000
5,45,18000000
6,0,18000000
7,71,18000000
8,58,18000000
9,83,18000000
10,44,18000000
11,70,18000000
12,27,18000000
13,86,18000000
14,53,18000000
15,66,18000000
16,52,18000000
17,42,18000000
18,68,18000000
19,75,18000000
20,4,18000000
21,9,18000000
22,26,18000000
23,78,18000000
24,50,18000000
25,84,18000000
26,10,18000000
27,18,18000000
28,5,18000000
29,89,18000000
30,33,18000000
31,91,18000000
32,47,18000000
33,39,18000000
34,57,18000000
35,63,18000000
36,15,18000000
37,14,18000000
38,90,18000000
39,25,18000000
40,59,18000000
41,19,18000000
42,34,18000000
43,11,18000000
44,7,18000000
45,61,18000000
46,74,18000000
47,60,18000000
48,2,18000000
49,77,18000000
50,80,18000000
51,30,18000000
52,28,18000000
53,16,18000000
54,94,18000000
55,37,18000000
56,3,18000000
57,73,18000000
58,20,18000000
59,8,18000000
60,81,18000000
61,79,18000000
62,36,18000000
63,72,18000000
64,22,18000000
65,88,18000000
66,12,18000000
67,43,18000000
68,6,18000000
69,1,18000000
70,40,18000000
71,51,18000000
72,49,18000000
73,87,18000000
74,23,18000000
75,21,18000000
76,64,18000000
77,41,18000000
78,67,18000000
79,38,18000000
80,31,18000000
81,24,18000000
82,13,18000000
83,82,18000000
84,93,18000000
85,32,18000000
86,56,18000000
87,95,18000000
88,48,18000000
89,62,18000000
90,46,18000000
91,69,18000000
92,65,18000000
93,17,18000000
94,35,18000000
95,29,18000000
